"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Aug 26 13:35:25 GMT 2022","Fri Aug 26 13:35:25 GMT 2022","4","Monkkee Regression Test","Create entry","tests.HomePageTest","tests.HomePageTest","newEntryShouldBeCreated","Validation that new entry can be created",""
"failed","Fri Aug 26 13:35:25 GMT 2022","Fri Aug 26 13:35:25 GMT 2022","0","Monkkee Regression Test","Create entry","tests.HomePageTest","tests.HomePageTest","login","Login user",""
"passed","Fri Aug 26 13:34:37 GMT 2022","Fri Aug 26 13:34:40 GMT 2022","3645","Monkkee Regression Test","Login","tests.LoginPageTest","tests.LoginPageTest","userShouldBeLoggedIn","Validation that user could login with valid credentials",""
