"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Aug 26 11:44:03 GMT 2022","Fri Aug 26 11:44:03 GMT 2022","2","Monkkee Regression Test","Create entry","tests.HomePageTest","tests.HomePageTest","newEntryShouldBeCreated","Validation that new entry can be created",""
"failed","Fri Aug 26 11:44:03 GMT 2022","Fri Aug 26 11:44:03 GMT 2022","0","Monkkee Regression Test","Create entry","tests.HomePageTest","tests.HomePageTest","login","login",""
"passed","Fri Aug 26 11:43:40 GMT 2022","Fri Aug 26 11:43:44 GMT 2022","4485","Monkkee Regression Test","Login","tests.LoginPageTest","tests.LoginPageTest","userShouldBeLoggedIn","Validation that user could login with valid credentials",""
