"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Aug 19 07:41:55 GMT 2022","Fri Aug 19 07:41:55 GMT 2022","16","Monkkee Regression Test","Login","tests.LoginPageTest","tests.LoginPageTest","userShouldBeLoggedIn","Validation that user could login with valid credentials",""
"broken","Fri Aug 19 07:41:55 GMT 2022","Fri Aug 19 07:41:55 GMT 2022","2","Monkkee Regression Test","Login","tests.LoginPageTest","tests.LoginPageTest","setUp","setUp",""
