"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Aug 19 08:55:16 GMT 2022","Fri Aug 19 08:55:16 GMT 2022","19","Monkkee Regression Test","Login","tests.LoginPageTest","tests.LoginPageTest","userShouldBeLoggedIn","Validation that user could login with valid credentials",""
"broken","Fri Aug 19 08:55:15 GMT 2022","Fri Aug 19 08:55:15 GMT 2022","3","Monkkee Regression Test","Login","tests.LoginPageTest","tests.LoginPageTest","setUp","setUp",""
