"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Aug 19 09:09:36 GMT 2022","Fri Aug 19 09:09:36 GMT 2022","5","Monkkee Regression Test","Login","tests.LoginPageTest","tests.LoginPageTest","setUp","setUp",""
"skipped","Fri Aug 19 09:09:36 GMT 2022","Fri Aug 19 09:09:36 GMT 2022","17","Monkkee Regression Test","Login","tests.LoginPageTest","tests.LoginPageTest","userShouldBeLoggedIn","Validation that user could login with valid credentials",""
