"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Aug 26 12:33:02 GMT 2022","Fri Aug 26 12:33:02 GMT 2022","1","Monkkee Regression Test","Login","tests.LoginPageTest","tests.LoginPageTest","logout","Logout user",""
"skipped","Fri Aug 26 12:33:02 GMT 2022","Fri Aug 26 12:33:02 GMT 2022","3","Monkkee Regression Test","Login","tests.LoginPageTest","tests.LoginPageTest","userShouldBeLoggedIn","Validation that user could login with valid credentials",""
"failed","Fri Aug 26 12:33:23 GMT 2022","Fri Aug 26 12:33:29 GMT 2022","5861","Monkkee Regression Test","Create entry","tests.HomePageTest","tests.HomePageTest","newEntryShouldBeCreated","Validation that new entry can be created",""
